index,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content,row_id,sentiment_type,sentiment_score
0,id,bbc-news,https://www.facebook.com/bbcnews,Israel says Sudan peace deal to be signed in Washington,It would officially normalise relations between Israel and another member of the Arab League.,https://www.bbc.co.uk/news/world-middle-east-64503867,https://ichef.bbci.co.uk/news/1024/branded_news/B2FC/production/_128502854_sudanomdurmanflaggettyimages-1237532357.jpg,2023-02-02T19:50:55Z,"Israel and Sudan will sign an ""historic peace agreement"" in Washington in a few months' time, Israel's foreign minister announced following talks in Khartoum.
Eli Cohen said the text of the agreemen… [+2088 chars]",0,compound,0.7717
1,id,bbc-news,,FIA suppressing drivers' freedom of speech - human rights group,"A human rights group says Formula 1's governing body the FIA is ""suppressing drivers' freedom of speech"" with a new rule introduced this year.",https://www.bbc.co.uk/sport/formula1/64387021,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/16A61/production/_128396729_gettyimages-1226347139-1.jpg,2023-01-24T13:07:17Z,"Lewis Hamilton wore a rainbow helmet to highlight LGBTQ+ rights at the Saudi Arabian Grand Prix in 2021
A human rights group says Formula 1's governing body the FIA is ""suppressing drivers' freedom … [+5639 chars]",1,compound,0.8625
2,id,bbc-news,,Schumacher to be McLaren reserve driver in 2023,Mick Schumacher will be reserve driver for McLaren during the 2023 season.,https://www.bbc.co.uk/sport/formula1/64489311,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/4359/production/_128014271_m349218.jpg,2023-02-01T17:55:11Z,"Schumacher signed for Mercedes in December prior to his switch to McLaren
Mick Schumacher will be reserve driver for McLaren during the 2023 season. 
The German lost his race seat for this year whe… [+476 chars]",2,compound,-0.3182
3,id,bbc-news,,Formula 1 pre-season testing schedule & 2023 car launches,Pre-season testing begins in February - and you can follow the sessions via live text commentary on the BBC Sport website and app.,https://www.bbc.co.uk/sport/formula1/64373016,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/5190/production/_128408802_gettyimages-1386732159.jpg,2023-01-27T11:22:26Z,"The three days of F1 testing will take place at the Bahrain International Circuit
The winter break is over and the 2023 Formula 1 season is edging closer.
All 10 teams have announced launch dates i… [+1004 chars]",3,compound,0.0
4,id,bbc-news,,Fittipaldi to remain as reserve driver at Haas,Brazilian Pietro Fittipaldi is to stay as the Haas team's reserve driver for a fifth consecutive season.,https://www.bbc.co.uk/sport/formula1/64383905,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/75D9/production/_128396103_pietrofittipaldi.jpg,2023-01-24T12:19:31Z,"Pietro Fittipaldi finished 17th and 19th in the final two races of 2020 when he replaced Romain Grosjean
Brazilian Pietro Fittipaldi is to stay as the Haas team's reserve driver for a fifth consecut… [+970 chars]",4,compound,0.0
5,id,bbc-news,,Murphy to return at Chelmsford from 14-month ban,Three-time champion jockey Oisin Murphy is set to return from a 14-month ban with one ride at Chelmsford on Thursday.,https://www.bbc.co.uk/sport/horse-racing/64625525,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1181/production/_128618440_gettyimages-1342062132-1.jpg,2023-02-14T15:19:15Z,"Murphy was champion jockey in 2019, 2020 and 2021
Three-time champion jockey Oisin Murphy is set to return from a 14-month ban with one ride at Chelmsford on Thursday.
The 27-year-old Irish rider h… [+1473 chars]",5,compound,0.6369
6,id,bbc-news,,Yates finishes second at Santos Tour Down Under,Britain's Simon Yates wins the final stage of the Santos Tour Down Under in Australia to finish second overall.,https://www.bbc.co.uk/sport/cycling/64363740,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/0679/production/_128375610_gettyimages-1458375369.jpg,2023-01-22T08:46:07Z,"Vine and Yates fought out a battle to the finish line
Britain's Simon Yates claimed victory in the last stage of the Santos Tour Down Under to finish second overall.
The Team Jayco AlUla rider over… [+1643 chars]",6,compound,-0.5994
7,id,bbc-news,,Alonso targets success with Aston Martin,Fernando Alonso says he is convinced the Aston Martin team he has joined this year will become winners in Formula 1 in the future.,https://www.bbc.co.uk/sport/formula1/64628611,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/9670/production/_128621583_amartin1.jpg,2023-02-13T20:09:53Z,"The AMR23 - Aston Martin's F1 car for the 2023 season - was unveiled at the team's new headquarters at Silverstone
Fernando Alonso says he is convinced the Aston Martin team he has joined this year … [+4660 chars]",7,compound,0.4019
8,id,bbc-news,,Ben Sulayem to step back from direct F1 involvement,Motorsport boss Mohammed Ben Sulayem says he will take a step back from direct involvement in Formula 1.,https://www.bbc.co.uk/sport/formula1/64572992,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/15032/production/_128566068_f1.jpg,2023-02-08T14:41:54Z,"Mohammed Ben Sulayem was elected president of the FIA in December 2021
Motorsport boss Mohammed Ben Sulayem says he will take a step back from direct involvement in Formula 1.
The 61-year-old's mov… [+2174 chars]",8,compound,0.0
9,id,bbc-news,,F1 will not replace 2023 Chinese Grand Prix,The cancelled Chinese Grand Prix will not be replaced this year.,https://www.bbc.co.uk/sport/formula1/64306212,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/18080/production/_128323489_gettyimages-946536920.jpg,2023-01-17T12:44:00Z,"Formula 1 has not visited China since 2019, but was due to return for the fourth race in 2023 on 16 April
The cancelled Chinese Grand Prix will not be replaced this year.
F1 has rejected a request … [+1786 chars]",9,compound,-0.4497
10,id,bbc-news,,Driver concern at free speech clampdown - Albon,"Williams' Alex Albon says F1 drivers are ""all concerned"" about an apparent clampdown on their ability to speak out on social and political issues.",https://www.bbc.co.uk/sport/formula1/64539592,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/A5DF/production/_128536424_gettyimages-1244855897.jpg,2023-02-06T14:04:22Z,"Alex Albon replaced George Russell at Williams before the 2022 season
Alex Albon says Formula 1 drivers are ""all concerned"" about an apparent clampdown on their ability to speak out on social and po… [+5712 chars]",10,compound,-0.3182
11,id,bbc-news,,Sport should never be a political tool - Horner,"Christian Horner says sport ""should never be used as a political tool"" but it has to find a ""sensible balance"" regarding freedom of speech.",https://www.bbc.co.uk/sport/formula1/64514913,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/113A1/production/_128516507_horner.jpg,2023-02-03T19:02:00Z,"Red Bull boss Christian Horner said Formula 1 had to be responsible when finding a solution to drivers' expressing freedom of speech
Red Bull team principal Christian Horner says sport ""should never… [+3370 chars]",11,compound,0.8316
12,id,bbc-news,,Ferrari 'obviously' targeting title - Vasseur,"New Ferrari team principal Frederic Vasseur says it is ""obvious"" that his target is to win the title this year.",https://www.bbc.co.uk/sport/formula1/64421101,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/54C7/production/_128430712_frdricvasseur-1c.jpg,2023-01-27T00:01:11Z,"Frederic Vasseur (left) joined Ferrari from Alfa Romeo-Sauber
New Ferrari team principal Frederic Vasseur says it is ""obvious"" that his target is to win the title this year.
The 54-year-old, who be… [+5485 chars]",12,compound,0.5859
13,id,bbc-news,,Cavendish seals Astana move for 2023 season,British sprinter Mark Cavendish agrees a deal to ride for Astana this season as he targets Eddy Merckx's Tour de France stage record.,https://www.bbc.co.uk/sport/cycling/64026016,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/89EB/production/_128070353_gettyimages-1437466363.jpg,2023-01-17T13:15:22Z,"Mark Cavendish has won the points classifications in the Tour de France, Giro d'Italia and Vuelta a Espana during his career
British sprinter Mark Cavendish has agreed to ride for Astana this season… [+4726 chars]",13,compound,0.7003
14,id,bbc-news,,I have 'patience' for McLaren rebuild - Norris,"Lando Norris says he has the ""patience"" to wait for McLaren to rebuild themselves into a championship-winning team in Formula 1.",https://www.bbc.co.uk/sport/formula1/64625961,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/636B/production/_128615452_f1_mclarenthree.jpg,2023-02-13T17:24:47Z,"Lando Norris (left) and Oscar Piastri were present at the unveiling of McLaren's car for the new season
Lando Norris says he has the patience to wait for McLaren to rebuild themselves into a champio… [+4422 chars]",14,compound,0.0
15,id,bbc-news,https://www.facebook.com/bbcnews,Turkey earthquake: Long journeys to find family,One man travelled to Turkey to try and find his missing brother by sifting through rubble himself.,https://www.bbc.co.uk/news/world-europe-64567295,https://ichef.bbci.co.uk/news/1024/branded_news/0772/production/_128560910_p0f1qy5d.jpg,2023-02-08T09:36:03Z,"As he waited for a delayed flight out of Istanbul Airport this week, Samet Yilmax held up his phone, pointing to a photo of rubble. He said his brother, Ismail, was buried beneath it.
Samet lives in… [+3037 chars]",15,compound,-0.2263
16,id,bbc-news,,Formula 1: Widespread concern after Mohammed Ben Sulayem controversies,There is widespread concern in F1 after FIA president Mohammed Ben Sulayem found himself embroiled in two separate controversies.,https://www.bbc.co.uk/sport/formula1/64501890,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/75A8/production/_128502103_bensulaymen_getty.jpg,2023-02-02T17:16:35Z,"Mohammed Ben Sulayem was elected president of the FIA in December 2021
The silence in Formula 1 this week has been deafening.
A week after Mohammed Ben Sulayem, the president of the sport's governi… [+10701 chars]",16,compound,-0.296
